Page,Prompt,Narration (Korean),References
Cover,"A magical forest at dusk, with Hansel and Gretel holding hands, looking toward a glowing mysterious path. The title text 'Hansel and Gretel' is displayed clearly at the top in whimsical fairytale lettering.","옛날 옛날에, 깊은 숲 속에 헨젤과 그레텔이라는 남매가 살고 있었어요.","A, B, E"
p.1,"A small wooden cottage in the forest, smoke rising from chimney. Inside, Hansel, Gretel, and their father sit at a wooden table.","헨젤과 그레텔은 아버지, 그리고 새어머니와 함께 작은 집에서 살았어요.","A, B, D, G"
p.2,"Inside the cottage, an empty food sack lies on the floor. The father looks worried, Hansel and Gretel look sad.","하지만 집은 가난했고, 먹을 것이 점점 줄어들었지요.","A, B, D, G"
p.3,"The stepmother angrily scolds the father by the fireplace, pointing toward the door. Hansel and Gretel listen quietly.",새어머니는 아이들을 숲에 두고 오자고 했어요. 아버지는 마음이 아팠지만 어쩔 수 없었지요.,"A, B, D, G"
p.4,"At night, under the moonlight in the forest, Hansel secretly picks up shiny white pebbles while Gretel stands beside him.",하지만 똑똑한 헨젤은 몰래 작은 하얀 자갈들을 주머니에 담았어요.,"A, B, E"
p.5,"The family walks deep into the dark forest. Hansel drops pebbles on the ground, Gretel follows close behind, father leads the way.","다음 날, 숲으로 들어가던 길에 헨젤은 자갈을 하나씩 떨어뜨렸어요.","A, B, E, G"
p.6,"The forest at night, pebbles glowing like tiny stars on the ground, showing Hansel and Gretel the way home.","밤이 되자, 자갈이 별처럼 빛나며 집으로 가는 길을 보여주었답니다.","A, B, E"
p.7,"Inside the cottage, the angry stepmother shouts. The father looks troubled. Hansel and Gretel look scared.",아이들이 돌아오자 새어머니는 화를 내며 또 숲으로 데려갔어요.,"A, B, D, G"
p.8,Hansel and Gretel walking again into the forest. Hansel drops breadcrumbs on the path while Gretel looks worried.,이번엔 헨젤이 빵 조각을 조금씩 흘리며 길을 표시했어요.,"A, B, E"
p.9,"Birds swoop down from tree branches, eating the breadcrumbs on the forest floor.",하지만 새들이 와서 빵을 모두 먹어버렸어요. 길이 사라져 버린 거예요.,E
p.10,"Hansel and Gretel lost in the forest, tired and hungry, holding hands as tall trees surround them.",헨젤과 그레텔은 며칠 동안 숲속을 떠돌며 배고프고 지쳤어요.,"A, B, E"
p.11,"In a forest clearing, a magical candy house made of gingerbread, chocolate, and candy canes. Hansel and Gretel stare in amazement.","그러던 어느 날, 달콤한 과자와 사탕으로 지어진 집을 발견했어요!","A, B, E, H"
p.12,"Hansel and Gretel happily nibble on the candy house, eating pieces of cookie walls and chocolate roof.",너무 배고팠던 두 남매는 신나게 집을 조금씩 먹기 시작했지요.,"A, B, H"
p.13,The witch opens the candy house door with a wicked smile. Hansel and Gretel step back in surprise.,하지만 그 집에는 무서운 마녀가 살고 있었답니다!,"A, B, C, H"
p.14,"Inside the witch’s house: Hansel trapped in a cage, Gretel sweeping the floor. The witch stands nearby.","마녀는 헨젤을 우리에 가두고, 그레텔에게 심부름을 시켰어요.","A, B, C, F, I"
p.15,Hansel tricks the witch by holding out a thin bone from the cage. The witch squints angrily.,헨젤은 뼈다귀를 내밀어 마녀를 속였어요.,"A, C, F, I"
p.16,"The witch shouts angrily beside a large oven glowing faintly, while Gretel looks worried nearby.",화가 난 마녀는 그레텔에게 오븐을 달구라고 명령했어요.,"B, C, I"
p.17,The witch bends to peek into the oven. Gretel pushes her from behind with determination.,"그때, 그레텔이 꾀를 내어 마녀를 오븐 속으로 밀어 넣었어요!","B, C, I"
p.18,"The witch falls into the oven. Hansel and Gretel stand free, relieved and smiling.","마녀는 사라지고, 두 남매는 자유롭게 되었답니다.","A, B, I"
p.19,"Inside the witch’s house, Hansel and Gretel open a treasure chest overflowing with gold and jewels.",집 안에는 반짝이는 보물이 가득했어요. 아이들은 그것을 담아 집으로 돌아갔지요.,"A, B, I"
p.20,"In front of the family cottage, Hansel and Gretel run happily into their father’s arms. Warm sunlight shines on them.",아버지는 두 아이를 꼭 껴안으며 다시는 놓치지 않겠다고 다짐했어요.,"A, B, D, G"
